Overall rank,Country or region,Continent,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region
1,Finland,Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe
2,Denmark,Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Western Europe
3,Norway,Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Western Europe
4,Iceland,Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe
5,Netherlands,Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Western Europe
6,Switzerland,Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Western Europe
7,Sweden,Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Western Europe
8,New Zealand,Oceania,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Australia and New Zealand
9,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America
10,Austria,Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe
11,Australia,Oceania,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Australia and New Zealand
12,Costa Rica,North America,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America and Caribbean
13,Israel,Asia,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Middle East and Northern Africa
14,Luxembourg,Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe
15,United Kingdom,Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Western Europe
16,Ireland,Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Western Europe
17,Germany,Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Western Europe
18,Belgium,Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Western Europe
19,United States,North America,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America
20,Czech Republic,Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Central and Eastern Europe
21,United Arab Emirates,Asia,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Middle East and Northern Africa
22,Malta,Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe
23,Mexico,North America,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Latin America and Caribbean
24,France,Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe
25,Taiwan,Africa,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Eastern Asia
26,Chile,South America,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Latin America and Caribbean
27,Guatemala,North America,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Latin America and Caribbean
28,Saudi Arabia,Asia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and Northern Africa
